S.No,Date,Season,Episode,Title,Directed by,Written by,Duration_mins,Summary,Rating_IMDB,US.viewers_million,Years,Months
1,20-Jan-08,Season 1,E1,Pilot,Vince Gilligan,Vince Gilligan,58,"Diagnosed with terminal lung cancer, chemistry teacher Walter White teams up with former student Jesse Pinkman to cook and sell crystal meth.",9.1,1410000,2008,January
2,27-Jan-08,Season 1,E2,Cat's in the Bag...,Adam Bernstein,Vince Gilligan,48,"After their first drug deal goes terribly wrong, Walt and Jesse are forced to deal with a corpse and a prisoner. Meanwhile, Skyler grows suspicious of Walt's activities.",8.7,1490000,2008,January
3,10-Feb-08,Season 1,E3,...And the Bag's in the River,Adam Bernstein,Vince Gilligan,48,Walt and Jesse clean up after the bathtub incident before Walt decides what course of action to take with their prisoner Krazy-8.,8.8,1080000,2008,February
4,17-Feb-08,Season 1,E4,Cancer Man,Jim McKay,Vince Gilligan,48,Walt tells the rest of his family about his cancer. Jesse tries to make amends with his own parents.,8.3,1090000,2008,February
5,24-Feb-08,Season 1,E5,Gray Matter,Tricia Brock,"Vince Gilligan, Patty Lin",48,"Walt rejects everyone who tries to help him with the cancer. Jesse tries his best to create Walt's meth, with the help of an old friend.",8.4,970000,2008,February
6,2-Mar-08,Season 1,E6,Crazy Handful of Nothin',Bronwen Hughes,"Vince Gilligan, George Mastras",48,"With the side effects and cost of his treatment mounting, Walt demands that Jesse finds a wholesaler to buy their drugs - which lands him in trouble.",9.3,1070000,2008,March
7,9-Mar-08,Season 1,E7,A No-Rough-Stuff-Type Deal,Tim Hunter,"Vince Gilligan, Peter Gould",48,"Walt and Jesse try to up their game by making more of the crystal every week for Tuco. Unfortunately, some of the ingredients they need are not easy to find. Meanwhile, Skyler realizes that her sister is a shoplifter.",8.9,1500000,2008,March
8,8-Mar-09,Season 2,E1,Seven Thirty-Seven,Bryan Cranston,"Vince Gilligan, J. Roberts",47,Walt and Jesse realize how dire their situation is. They must come up with a plan to kill Tuco before Tuco kills them first.,8.7,1660000,2009,March
9,15-Mar-09,Season 2,E2,Grilled,Charles Haid,"Vince Gilligan, George Mastras",46,"Walt's disappearance is met with investigation by both his wife and Hank, as Tuco Salamanca intends to leave town with his kidnapped cooks.",9.3,1600000,2009,March
10,22-Mar-09,Season 2,E3,Bit by a Dead Bee,Terry McDonough,"Vince Gilligan, Peter Gould, George Mastras",47,Walt and Jesse try to come up with alibis for their disappearances.,8.4,1130000,2009,March
11,29-Mar-09,Season 2,E4,Down,John Dahl,"Vince Gilligan, Sam Catlin",47,Skyler keeps mysteriously leaving without talking to Walt. Jesse's parents throw him out of his own house.,8.3,1290000,2009,March
12,5-Apr-09,Season 2,E5,Breakage,Johan Renck,"Vince Gilligan, Moira Walley-Beckett",47,"Walt and Jesse decide to start their own little empire with the help of Jesse's friends: Skinny Pete, Combo, and Badger. Meanwhile, Hank tries to pull himself together after his encounter with Tuco.",8.4,1210000,2009,April
13,12-Apr-09,Season 2,E6,Peekaboo,Peter Medak,"Vince Gilligan, J. Roberts",47,"After Skinny Pete gets ripped off, Walt makes Jesse go get the money. Meanwhile, Walt's cover story on how Elliott and Gretchen are paying for his medical treatment is on the verge of collapsing.",8.9,1410000,2009,April
14,19-Apr-09,Season 2,E7,Negro y Azul,Félix Enríquez Alcalá,"Vince Gilligan, John Shiban",47,"Rumor is spreading that Jesse killed the man that ripped Skinny Pete off. Walt uses this to his advantage on expanding their territory. Meanwhile, Hank has been promoted to the El Paso office. But it's not all he hoped it would be.",8.7,24739140000,2009,April
15,26-Apr-09,Season 2,E8,Better Call Saul,Terry McDonough,"Vince Gilligan, Peter Gould",47,"Badger is caught by the DEA. Walt and Jesse hire the best criminal lawyer in town, Saul Goodman.",9.2,1040000,2009,April
16,3-May-09,Season 2,E9,4 Days Out,Michelle MacLaren,"Vince Gilligan, Sam Catlin",47,Walt and Jesse become stranded out in the middle of the desert after cooking more crystal.,9.2,24739140000,2009,May
17,10-May-09,Season 2,E10,Over,Phil Abraham,"Vince Gilligan, Moira Walley-Beckett, J. Roberts",47,Walt's cancer has greatly improved. Time to celebrate. Meanwhile Jesse tries to meet his new girlfriend's father.,8.6,24739140000,2009,May
18,17-May-09,Season 2,E11,Mandala,Adam Bernstein,"Vince Gilligan, George Mastras",47,Walt and Jesse's little empire begins to crumble. Saul tries to set them up with a mysterious distributor.,8.9,24739140000,2009,May
19,24-May-09,Season 2,E12,Phoenix,Colin Bucksey,"Vince Gilligan, John Shiban",47,"Walt and Skyler have a baby girl. Now that Jesse is hooked on heroin, Walt refuses to give him his money until he gets clean. Meanwhile, as an excuse for his money, Walt decides to donate the money to himself through his son's new website.",9.3,24739140000,2009,May
20,31-May-09,Season 2,E13,ABQ,Adam Bernstein,Vince Gilligan,48,"Walt's lies have pushed Skyler to her limit. She leaves with the kids. Meanwhile, Jesse blames himself for Jane's death and goes into rehab.",9.3,1500000,2009,May
21,21-Mar-10,Season 3,E1,No Más,Bryan Cranston,Vince Gilligan,47,Skyler goes through with her plans to divorce Walt. Jesse finishes rehab.,8.6,1950000,2010,March
22,28-Mar-10,Season 3,E2,Caballo sin Nombre,Adam Bernstein,"Vince Gilligan, Peter Gould",47,"Walter, Jr. is having a rough time accepting his parents' separation. Jesse buys his old house from his parents. Meanwhile, two mysterious men have come into town looking for Walt.",8.7,1550000,2010,March
23,4-Apr-10,Season 3,E3,I.F.T.,Michelle MacLaren,"Vince Gilligan, George Mastras",47,"Walt has moved back into the house without Skyler's consent. Now she can't get him out. Meanwhile, Jesse continues to cope with Jane's death.",8.5,1330000,2010,April
24,11-Apr-10,Season 3,E4,Green Light,Scott Winant,"Vince Gilligan, Sam Catlin",47,"Walt's world crumbles even more after finding out that Skyler is cheating on him. Jesse tries to set up a meeting with Gus to try and sell his own version of the blue meth. Meanwhile, Hank is growing obsessed with finding Heisenberg.",8.3,1460000,2010,April
25,18-Apr-10,Season 3,E5,Más,Johan Renck,"Vince Gilligan, Moira Walley-Beckett",47,Gus tries to get Walt back in the business by offering him three million dollars and a brand new lab. Jesse is furious that Walt received half of the money for his blue meth. Hank tries to track down the RV meth lab.,8.7,1610000,2010,April
26,25-Apr-10,Season 3,E6,Sunset,John Shiban,"Vince Gilligan, John Shiban",47,"Heisenberg's organized and practical assistant Gale greatly aids his work in Gus's lab. Hank finally tracks the RV back to Jesse, as a concerned Walt finds any way to erase the evidence.",9.3,1640000,2010,April
27,2-May-10,Season 3,E7,One Minute,Michelle MacLaren,"Vince Gilligan, Thomas Schnauz",47,"Jesse ends up in the hospital after getting beaten up by Hank. Now he is threatening to press charges against the DEA. To stop him, Walt decides to bring Jesse on as his partner, once again.",9.6,1520000,2010,May
28,9-May-10,Season 3,E8,I See You,Colin Bucksey,"Vince Gilligan, Gennifer Hutchison",47,Hank ends up in the hospital after being attacked by Tuco's cousins. Walt spends too much time by his family's side when he should be cooking meth.,8.8,1780000,2010,May
29,16-May-10,Season 3,E9,Kafkaesque,Michael Slovis,"Vince Gilligan, Peter Gould, George Mastras",47,"Skyler hatches a plan as Hank's hospital bills stack up. Meanwhile, Walt and Gus come to a better understanding as Jesse, looking for more independence, pursues a new opportunity.",8.5,1610000,2010,May
30,23-May-10,Season 3,E10,Fly,Rian Johnson,"Vince Gilligan, Sam Catlin, Moira Walley-Beckett",47,There is a fly loose in the lab. Walt and Jesse must do whatever they can to kill it before it contaminates the meth.,7.8,1200000,2010,May
31,30-May-10,Season 3,E11,Abiquiu,Michelle MacLaren,"Vince Gilligan, John Shiban, Thomas Schnauz",47,"Skyler gets more involved in Walt's business, much to his chagrin, as Hank struggles with his recovery. Meanwhile, Jesse takes an active role in his new enterprise, leading him to a startling discovery.",8.5,1320000,2010,May
32,6-Jun-10,Season 3,E12,Half Measures,Adam Bernstein,"Vince Gilligan, Sam Catlin, Peter Gould",47,"Against Walt's advice, Jesse lashes out. Fearing for Jesse's safety, Walt takes drastic action to intervene. Meanwhile a tragic event leads to a shocking confrontation.",9.5,1190000,2010,June
33,13-Jun-10,Season 3,E13,Full Measure,Vince Gilligan,Vince Gilligan,47,Jesse has disappeared and Walt is in big trouble with Gus. So Gus rehires Gale to learn from Walt's cooking so that they can dispose of Walt once and for all.,9.7,1560000,2010,June
34,17-Jul-11,Season 4,E1,Box Cutter,Adam Bernstein,Vince Gilligan,48,"Walt and Jesse are held captive for Gus, after Gale's death. Meanwhile, Skyler tries to find out what happened to Walt.",9.2,2580000,2011,July
35,24-Jul-11,Season 4,E2,Thirty-Eight Snub,Michelle MacLaren,"Vince Gilligan, George Mastras",60,"Walt attempts to form a new alliance as he plans his next move. Meanwhile Skyler pushes Walt towards a business opportunity, in hopes of protecting the family.",8.3,1970000,2011,July
36,31-Jul-11,Season 4,E3,Open House,David Slade,"Vince Gilligan, Sam Catlin",47,"While Walt worries about Gus's interference and Jesse's increasingly fragile state of mind, Skyler steps up the pressure to get what she wants.",8.1,1710000,2011,July
37,7-Aug-11,Season 4,E4,Bullet Points,Colin Bucksey,"Vince Gilligan, Moira Walley-Beckett",47,"As Skyler concocts an elaborate story to explain the Whites' finances, a worried Walt discovers that Hank has begun a new investigation.",8.7,1830000,2011,August
38,14-Aug-11,Season 4,E5,Shotgun,Michelle MacLaren,"Vince Gilligan, Thomas Schnauz",47,"Jesse rides shotgun with Mike on a perilous run of pickups, prompting Walt to worry that his partner is about to be killed.",8.7,1750000,2011,August
39,21-Aug-11,Season 4,E6,Cornered,Michael Slovis,"Vince Gilligan, Gennifer Hutchison",47,"Skyler adopts an aloof approach when she suspects that Walt isn't telling her the truth. Meanwhile, Jesse proves his worth to Mike and Gus.",8.5,1670000,2011,August
40,28-Aug-11,Season 4,E7,Problem Dog,Peter Gould,"Vince Gilligan, Peter Gould",47,"Skyler looks to continue her family's trend of appearing poverty-stricken by forcing Walt to return the car he bought. A concerned Walt chauffeurs Hank to Los Pollos Hermanos, and the articulate yet immobile DEA agent collects prints.",8.9,1910000,2011,August
41,4-Sep-11,Season 4,E8,Hermanos,Johan Renck,"Vince Gilligan, Sam Catlin, George Mastras",47,"When Hank produces evidence that Gus is Albuquerque's crystal meth kingpin, Walt worries that he and Jesse will be killed to protect their boss.",9.3,1980000,2011,September
42,11-Sep-11,Season 4,E9,Bug,Terry McDonough,"Vince Gilligan, Moira Walley-Beckett, Thomas Schnauz",47,"While Walt tries to subvert Hank's probe into the Albuquerque meth scene, a deadly warning forces Gus to consider a deal with the cartel.",8.9,1890000,2011,September
43,18-Sep-11,Season 4,E10,Salud,Michelle MacLaren,"Vince Gilligan, Peter Gould, Gennifer Hutchison",47,"Jesse, Gus, and Mike fly down to Mexico, and Jesse cooks the blue meth for the cartel. Walt misses his son's 16th birthday after his fight with Jesse.",9.6,1800000,2011,September
44,25-Sep-11,Season 4,E11,Crawl Space,Scott Winant,"Vince Gilligan, George Mastras, Sam Catlin",45,"Hank asks Walt to drive him to the laundry where the meth lab is hidden. Ted still won't pay the IRS so Skyler asks Saul for help, and Saul sends in his A-Team. Gus and Jesse return from Mexico, and Walt fears he is in trouble with Gus.",9.7,1550000,2011,September
45,2-Oct-11,Season 4,E12,End Times,Vince Gilligan,"Vince Gilligan, Thomas Schnauz, Moira Walley-Beckett",47,"The DEA is putting Hank and his family in protective custody; however, Walt refuses and awaits his fate in his house. Meanwhile, Brock has fallen terribly ill and Jesse suspects Walt may be behind it.",9.5,1730000,2011,October
46,9-Oct-11,Season 4,E13,Face Off,Vince Gilligan,Vince Gilligan,51,"Jesse is brought to the FBI for questioning on his knowledge of ricin. In a last effort to kill Gus, Walt must ask for help from an old enemy.",9.9,1900000,2011,October
47,15-Jul-12,Season 5,E1,Live Free or Die,Michael Slovis,Vince Gilligan,43,"Now that Gus is dead, Walt, Jesse, and Mike work to cover their tracks. Skyler panics when Ted Beneke wakes up.",9.3,2930000,2012,July
48,22-Jul-12,Season 5,E2,Madrigal,Michelle MacLaren,Vince Gilligan,48,Walt and Jesse seek out an unlikely partner for a new business venture. The DEA follows up new leads in its investigation.,8.9,2290000,2012,July
49,29-Jul-12,Season 5,E3,Hazard Pay,Adam Bernstein,"Vince Gilligan, Peter Gould",48,The guys put a business plan into action; Walt confesses to Marie.,8.9,2200000,2012,July
50,5-Aug-12,Season 5,E4,Fifty-One,Rian Johnson,"Vince Gilligan, Sam Catlin",48,It's Walt's 51st birthday. His return to the drug business causes Skyler to go into depression.,8.9,2290000,2012,August
51,12-Aug-12,Season 5,E5,Dead Freight,George Mastras,"Vince Gilligan, George Mastras",48,"Walter White's domestic life continues to deteriorate; at the same time, his growing business venture aims to steal a train car chock full of methylamine.",9.7,2480000,2012,August
52,19-Aug-12,Season 5,E6,Buyout,Colin Bucksey,"Vince Gilligan, Gennifer Hutchison",48,"In the aftermath of the train heist, Jesse and Mike decide to quit the business, leaving Walt to handle things on his own. Mike is being followed by the DEA.",9.1,2810000,2012,August
53,26-Aug-12,Season 5,E7,Say My Name,Thomas Schnauz,"Vince Gilligan, Thomas Schnauz",48,Mike and Jesse are out. Now Walt has to handle things on his own. Hank finally finds a rat in Mike's gang.,9.6,2980000,2012,August
54,2-Sep-12,Season 5,E8,Gliding Over All,Michelle MacLaren,"Vince Gilligan, Moira Walley-Beckett",48,"Walt expands his business overseas, and the money is pouring in.",9.6,2780000,2012,September
55,11-Aug-13,Season 5,E9,Blood Money,Bryan Cranston,"Vince Gilligan, Peter Gould",48,Walt is out of the meth business and trying to move on with his life. Jesse tries to get rid of his money. Hank now knows that Walt is the famous Heisenberg.,9.5,5920000,2013,August
56,18-Aug-13,Season 5,E10,Buried,Michelle MacLaren,"Vince Gilligan, Thomas Schnauz",48,"Hank is determined to bring down Walt. Walt scrambles to hide evidence before Hank gets to it, and Skyler tries to stop Hank and Marie from taking away the kids.",9.2,4770000,2013,August
57,25-Aug-13,Season 5,E11,Confessions,Michael Slovis,"Vince Gilligan, Gennifer Hutchison",48,"Walt makes his next move against Hank, putting Hank in a tough position. Hank confronts Jesse and attempts to turn him against Walt, and Jesse decides it's time to move on. Meanwhile, Todd has taken over the business.",9.6,4850000,2013,August
58,1-Sep-13,Season 5,E12,Rabid Dog,Sam Catlin,"Vince Gilligan, Sam Catlin",48,Walt discovers Jesse broke into his house and attempted to burn it down. Walt wants to protect his family so he moves them into a hotel for a few nights. Jesse makes plans to take down Walt.,9.2,4410000,2013,September
59,8-Sep-13,Season 5,E13,To'hajiilee,Michelle MacLaren,"Vince Gilligan, George Mastras",47,Jesse and Hank come up with an idea to take Walt down. Walt hires Todd's uncle to kill Jesse.,9.8,5110000,2013,September
60,15-Sep-13,Season 5,E14,Ozymandias,Rian Johnson,"Vince Gilligan, Moira Walley-Beckett",48,"Walt goes on the run. Jesse is taken hostage. Marie convinces Skyler to tell Walter, Jr. the truth.",10,6370000,2013,September
61,22-Sep-13,Season 5,E15,Granite State,Peter Gould,"Vince Gilligan, Peter Gould",55,Walt struggles as he adapts to aspects of his new identity. Jesse plans an escape against Jack and his crew.,9.7,6580000,2013,September
62,29-Sep-13,Season 5,E16,Felina,Vince Gilligan,Vince Gilligan,55,"Walter White makes one last attempt to secure his family's future, while also visiting some old enemies, during his final return to Albuquerque.",9.9,10280000,2013,September
